,0,1,2,3
0,Category,"Household Income 
per annum",Home Loan Approvals in FY21,
1,,,% in Value Terms,% in Number Terms
2,Economically Weaker Section,Up to ₹ 3 lac,2,6
3,Low Income Group,Above ₹ 3 lac up to ₹ 6 lac,14,27
4,Middle Income Group,Above ₹ 6 lac up to ₹ 18 lac,44,48
5,High Income Group,Above ₹ 18 lac,40,19
6,Total,,100,100
