,0,1,2,3,4
0,,Scope 1: Summary FY21,,,
1,Source,GHG Emissions,,,
2,,CO2 (MT),CH4 (MT),N20 (MT),CO2e (MT)
3,Generator Sets (Diesel),3.56,<0.1,<0.1,3.58
4,Company Cars & Petro Cards (Petrol),12.67,-,-,12.67
5,Fuel Allowance (Petrol),720.35,-,-,720.35
6,Air Conditioner - Refrigerant Leaks,229.46,-,-,229.46
7,,Total,,,966.06
