,0,1,2,3,4
0,Parameter*,FY21,,FY20,
1,,MWH,TJ,MWH,TJ
2,Total electricity consumption (A),"3,254.70",11.72,"3,473.59",12.51
3,Total fuel consumption (B),"2,951.63",10.63,"3,243.25",11.68
4,"Energy consumption through other 
sources  (C)",-,-,-,-
5,"Total energy consumption 
(A+B+C)","6,206.33",22.35,"6,716.84",24.19
