0,1,2,3,4
Parameter*,FY21,,FY20,
,MWH,TJ,MWH,TJ
Total electricity consumption (A),"3,254.70",11.72,"3,473.59",12.51
Total fuel consumption (B),"2,951.63",10.63,"3,243.25",11.68
"Energy consumption through other 
sources  (C)",-,-,-,-
"Total energy consumption 
(A+B+C)","6,206.33",22.35,"6,716.84",24.19
