0,1,2,3
S. No.,Product/Service,"NIC 
Code","% of total turn over  
contributed"
1.,"The  Corporation’s  main  business  is  financing  by  way  of  loans  for 
the  purchase  or  construction  of  residential  houses,  commercial  real 
estate and certain other purposes in India. All other activities of the 
Corporation revolve around the main business.
As  at  March  31,  2021,  in  terms  of  the  composition  of  loans  on  an 
Assets  Under  Management  basis,  77%  were 
loans  to 
individuals, 
10%  construction  finance,  7%  lease  rental  discounting  and  6%  to 
corporates.",64192,100
