0,1,2,3
Parameter*,Unit,FY21,FY20
"Total Scope 1 emissions (Break-up of the GHG into     
CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available)","Metric tonnes  of 
CO2 equivalent",966.1,"1,340.1"
"Total Scope 2 emissions (Break-up of the GHG into 
CO2, CH4, N2O, HFCs, PFCs, SF6, NF3, if available)","Metric tonnes  of 
CO2 equivalent","2,684.1","2,864.6"
