0,1,2
,Scope 2: Summary FY21,
Source*,GHG Emissions,
,"CO2 (MT)
CH4 (MT)
N20 (MT)",CO2e (MT)
Purchased Electricity,"2,240.50
-
-","2,240.50"
Electricity for Data Centres,"443.62
-
-",443.62
,Total,"2,684.12"
