0,1,2,3
S. No.,State,Aspirational Districts,"Amount spent      
(` in crore)"
1.,Maharashtra,Gadchiroli,1.00
2.,Jharkhand,"Dumka, Purbi Singhbum, Palamu, Ranchi, Hazaribagh, Pakur",1.84
3.,Madhya Pradesh,Barwani,0.70
