0,1,2,3,4,5,6
,FY21,,Remarks,FY20,,Remarks
,"Received 
during 
the year","Pending 
resolution 
at  end  of 
year",,"Received 
during the 
year","Pending 
resolution at        
end of year",
Data privacy,Nil,Nil,-,Nil,Nil,-
Advertising,,,,,,
Cyber-security,,,,,,
"Restrictive Trade 
Practices",,,,,,
"Unfair Trade 
Practices",,,,,,
Others,,,,,,
